EX_ala_L(e),3.146067416
EX_arg_L(e),2.54789272
EX_asn_L(e),0.8
EX_asp_L(e),0.8521303258
EX_cys_L(e),0.5785123967
EX_glu_L(e),1.995464853
EX_gln_L(e),1.9
EX_gly_L(e),1.466666667
EX_his_L(e),0.3870967742
EX_ile_L(e),0.9923664122
EX_leu_L(e),2.340966921
EX_lys_L(e),1.666666667
EX_met_L(e),0.4697986577
EX_phe_L(e),1.212121212
EX_pro_L(e),0.5217391304
EX_ser_L(e),1.238095238
EX_thr_L(e),0.8403361345
EX_tyr_L(e),0.4051565378
EX_val_L(e),1.310541311
EX_glc_D(e),29
EX_ac(e),0.9444444444
EX_ppa(e),0.5405405405
EX_lac_D(e),0.5925925926
EX_lac_L(e),0
EX_lcts(e),0.477582846
EX_succ(e),7.90960452
EX_WheyProtein_e,0
EX_MedProtein_e,0.513
